,score
0,0.0
1.1.1,45.913
1.1.2,10.333
1.1.3,4.583
1.1.4,61.03999999999999
1.1.5,12.643999999999998
1.1.6,8.446
1.1.7,30.97
1.2.1,6.9990000000000006
1.2.2,6.988000000000001
1.2.3,18.055
1.2.4,15.499
1.2.5,21.980000000000004
1.2.6,23.002000000000002
1.3.1,6.667999999999999
1.3.2,35.028999999999996
1.3.3,2.988000000000001
1.3.4,0.778
1.3.5,4.221
1.3.6,15.993000000000002
1.3.7,4.5
1.3.8,10.514000000000001
1.3.9,6.0
1.3.10,2.252
1.3.11,0.27299999999999996
1.3.12,2.5460000000000003
1.3.13,4.473000000000001
1.3.14,131.169
1.3.15,10.521999999999998
1.3.16,7.186999999999999
1.4.1,6.333
1.4.2,307.18
1.4.3,56.516
1.4.4,18.957
1.4.5,182.75500000000005
1.4.6,801.6380000000001
1.4.7,50.346
2.1.1,9.477
2.1.2,45.971999999999994
2.1.3,8.001
2.1.4,6.0
2.1.5,23.007
2.1.6,15.002
2.1.7,8.999
2.1.8,9.997
2.1.9,7.325000000000001
2.1.10,7.773
2.1.11,45.00000000000001
2.1.12,3.1870000000000003
2.2.1,12.39
2.2.2,22.468999999999998
2.2.3,3.999
2.2.4,6.334
2.2.5,5.998
2.2.6,17.006
2.2.7,0.0
2.2.8,2.008
2.2.9,2.0
2.2.10,5.1
2.2.11,2.26
2.2.12,1.68
2.3.1,11.561
2.3.2,9.0
2.3.3,8.0
2.3.4,0.0
2.3.5,0.0
2.3.6,1.0
2.3.7,7.0
2.3.8,0.0
2.3.9,1.9940000000000007
2.3.10,3.3760000000000003
3.1.1,8.99
3.1.2,5.995
3.2.1,4.776000000000002
3.2.2,18.295000000000005
3.2.3,2.016000000000001
3.2.4,0.0
3.2.5,0.9990000000000001
3.2.6,1.5
3.2.7,1.999
3.2.8,2.5
3.2.9,1.0
3.2.10,3.2930000000000006
3.2.11,2.665
3.2.12,1.197
3.3.1,19.951
3.3.2,10.024000000000001
3.3.3,4.996
3.3.4,1.0049999999999997
3.3.5,2.0
3.3.6,2.999
App.,354.838
Abs,45.5
